VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,duration_min,avg_speed_mph,tip_percentage,time_of_day
2,2019-01-01 00:58:14,2019-01-01 00:58:18,2,0.0,5,N,225,225,1,21.0,0.0,0.5,4.36,0.0,0.3,26.16,,,,,
1,2019-01-01 00:32:11,2019-01-01 00:51:22,0,5.1,1,N,143,179,2,17.5,0.5,0.5,0.0,0.0,0.3,18.8,,,,,
1,2019-01-01 00:57:12,2019-01-01 01:00:48,1,0.0,1,N,107,107,4,4.0,0.5,0.5,0.0,0.0,0.3,5.3,,,,,
2,2019-01-01 00:34:41,2019-01-01 00:34:41,1,0.0,1,N,264,264,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,,,,
1,2019-01-01 00:11:51,2019-01-01 00:12:52,1,5.7,1,N,249,249,3,3.0,0.5,0.5,0.0,0.0,0.3,4.3,,1.0166666666666666,336.3934426229509,,
1,2019-01-01 00:46:29,2019-01-01 00:48:25,1,5.7,1,N,68,100,3,3.0,0.5,0.5,0.0,0.0,0.3,4.3,,1.9333333333333333,176.89655172413794,,
1,2019-01-01 00:26:47,2019-01-01 00:27:13,1,10.3,1,N,148,148,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.43333333333333335,1426.1538461538462,,
2,2019-01-01 00:22:44,2019-01-01 00:22:50,1,0.97,5,N,265,265,1,120.0,0.0,0.5,30.2,0.0,0.3,151.0,,0.1,582.0,,
1,2019-01-01 00:06:04,2019-01-01 00:06:09,1,6.8,1,N,243,243,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.08333333333333333,4896.0,,
1,2019-01-01 00:59:34,2019-01-01 01:00:10,1,4.9,1,N,41,41,3,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,0.6,490.0,,
